優先度,展開区分,都道府県,地域,会社名,業種,主力事業/商品,本社所在地,従業員数,売上規模,地元影響度,地元影響度の理由,AI研修ニーズ仮説,刺さる切り口,アプローチ先仮説,紹介経路仮説,初回メール切り口,公式URL,情報ソースURL,メモ
A,全国食品豪族,北海道,札幌市,株式会社北菓楼,菓子,シュークリーム・開拓おかき,札幌市中央区,約500名,不明,高,道産ブランド菓子の有力,販促・観光・EC・人事AI,道産ブランド×AI観光販促,代表・販促部,札幌商工会議所、北海道銀行,北海道菓子×AI提案,https://www.kitakaro.com/,要確認,北海道菓子豪族
A,全国食品豪族,北海道,北広島市,株式会社ロイズコンフェクト,菓子(チョコレート),生チョコ・ポテトチップチョコ,北広島市,約2000名,約400億円,高,北海道チョコの代表。創業家経営、地域雇用大,販促・観光・EC・採用・海外英語AI,ロイズ×AI多言語販促・採用,代表・販促部・経営企画,北海道銀行、地域行政,ロイズ×AI多言語販促提案,https://www.royce.com/,https://www.royce.com/about/,北海道豪族
A,全国食品豪族,北海道,帯広市,株式会社柳月,菓子,三方六(バウムクーヘン),河東郡音更町,約500名,不明,高,十勝の代表的菓子,販促・観光・採用AI,十勝菓子×AI販促,代表・販促部,帯広商工会議所、北海道銀行,十勝×AI販促提案,https://www.ryugetsu.co.jp/,要確認,十勝有力
A,全国食品豪族,北海道,千歳市,株式会社もりもと,菓子・パン,ハスカップジュエリー・雪鶴,千歳市,約400名,不明,高,千歳の地域代表菓子・パン,販促・観光・EC・採用AI,千歳×AI観光販促,代表・販促部,千歳商工会議所,千歳×AI観光販促,https://morimoto-shop.com/,要確認,千歳代表
A,全国食品豪族,北海道,音更町,よつ葉乳業株式会社,乳製品,バター・チーズ・生クリーム,河東郡音更町,約1500名,約2000億円,高,北海道酪農を支える協同組合系,業務用営業・販促・人事・技術文書AI,乳業BtoB×AI提案資料生成,営業本部・人事部・経営企画,北海道銀行、ホクレン,乳業×AIの業務用営業提案,https://www.yotsuba.co.jp/,https://www.yotsuba.co.jp/corporate/,協同組合系豪族
A,全国食品豪族,北海道,函館市,カール・レイモン函館元町本店,食肉加工,ハム・ソーセージ,函館市元町,約100名,不明,高,函館土産代表のハム・ソーセージ,販促・観光・EC・採用AI,函館観光×AI販促,代表・販促,函館商工会議所,函館×AI提案,https://www.raymon.co.jp/,要確認,函館代表
A,全国食品豪族,青森県,八戸市,八戸缶詰株式会社,水産加工・缶詰,さば缶・いわし缶,八戸市河原木,約300名,不明,高,八戸水産缶詰の中核,販促・業務用営業・海外英語AI,八戸さば缶×AI海外発信,代表・営業部,八戸商工会議所、青森銀行,八戸水産×AI海外提案,https://www.hachikan.jp/,要確認,八戸水産代表
A,全国食品豪族,青森県,弘前市,株式会社ラグノオささき,菓子,気になるリンゴ・パティシエのりんごスティック,弘前市百石町,約400名,不明,高,弘前のりんご文化菓子の象徴,販促・観光・EC・採用AI,弘前×AI観光販促,代表・販促部,弘前商工会議所、青森銀行,弘前×AI提案,https://www.rag-s.com/,要確認,弘前代表
A,全国食品豪族,岩手県,盛岡市,株式会社岩手缶詰,缶詰,水産・野菜缶詰・OEM,盛岡市芋田,約300名,不明,高,岩手OEM缶詰の中核,業務用営業・品証・人事AI,OEM食品×AI業務効率化,営業本部・経営企画,岩手商工会議所、岩手銀行,OEM×AI業務提案,https://www.iwatekanzume.co.jp/,要確認,岩手OEM
A,全国食品豪族,岩手県,二戸市,株式会社小松製菓(巖手屋),菓子(南部煎餅),南部煎餅,二戸市石切所,約400名,不明,高,南部煎餅の代表,販促・観光・EC・採用AI,南部煎餅×AI観光販促,代表・販促部,二戸商工会議所、岩手銀行,南部煎餅×AI提案,https://www.iwateya.co.jp/,要確認,南部煎餅代表
A,全国食品豪族,宮城県,仙台市,株式会社菓匠三全,菓子,萩の月・ロワイヤルテラッセ,仙台市青葉区上愛子,約700名,約150億円,高,仙台銘菓「萩の月」の代表,販促・観光・EC・採用・人事AI,萩の月×AI観光販促,販促部・人事部,仙台商工会議所、七十七銀行,仙台×AI観光販促提案,https://www.sanzen.co.jp/,https://www.sanzen.co.jp/company/,仙台代表豪族
