種別,都道府県,名称,住所,メールアドレス,電話番号,公式サイトURL,問い合わせフォームURL,情報取得元URL,営業優先度,送信方法,送信ステータス,初回送信日,返信有無,次回対応日,担当者,提案角度,備考,宛名,件名,送信用本文
JC,北海道,（一社）帯広青年会議所,〒080-0011 北海道帯広市西1条南8丁目17-1 マリエッタビル2F,,0155-24-6255,http://www.obihiro-jc.jp/,,http://obihiro-jc.jp/2026/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）帯広青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）当別青年会議所,〒061-0226 北海道石狩郡当別町錦町1248番地 当別町商工会館内,1128monea@gmail.com,090-5982-4101,https://tobetsu-jc.com/,https://tobetsu-jc.com/contact/,https://tobetsu-jc.com/,B,メール,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）当別青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"（一社）当別青年会議所 ご担当者様

突然のご連絡を失礼いたします。
株式会社AIスキル、法人研修事業担当の河野 邦彦と申します。

このたびは、貴青年会議所の会員様・地域の若手経営者の皆さま向けに「無料AI活用セミナー」の共催についてご相談させていただきたく、ご連絡いたしました。

弊社では、生成AI・ChatGPTの正しい活用を全国の中小企業へ広げることを目的として、地域団体様と連携した無料セミナー開催を進めております。費用のご負担なく、若手経営者への新しい学びの機会として、また地域企業支援・次世代リーダー向けの実践的コンテンツとしてご活用いただける内容です。

弊社が運営するAIスキルアカデミーは、九州工業大学 生命体工学研究科 人間知能システム工学専攻にてAI研究を行う鈴木章央先生にコンテンツを監修いただいており、現在16,000名以上の会員様にご利用いただいております。会員の約20%が中小企業の経営者・事業責任者の方々であり、これまでに約3,000名にAI活用事例を提供してまいりました。

過去には、新富町商工会議所様にて約20名の方を対象に1時間半のAI活用セミナーを実施し、地元紙にも取り上げていただきました。

概要資料を添付しておりますので、ご確認いただき、上長や担当部署内でのご共有にお役立てください。

まずは一度30分ほどオンラインにて、共催の可能性についてご相談させてください。ご関心をお持ちいただけましたら、候補日をいくつかいただけますと幸いです。

何卒よろしくお願いいたします。

------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）恵庭青年会議所,,,,https://sites.google.com/view/eniwajc,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）恵庭青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）斜里青年会議所,,,,http://shari-jc.com/,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）斜里青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）旭川青年会議所,〒070-0043 旭川市常盤通1丁目,,0166-22-9815,http://www.asahikawa-jc.or.jp/,https://asahikawa-jc.or.jp/,https://asahikawa-jc.or.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）旭川青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）札幌青年会議所,【JCカップ西北海道予選大会】,,011-222-1439,http://sapporo-jc.or.jp/,https://docs.google.com/forms/d/e/1FAIpQLSfUhaku1unSnbiAPf0v4zDOQtnlmGQyZMglfzKvqK6qDZOmPA/viewform?usp=header,http://sapporo-jc.or.jp/2026/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）札幌青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）栗山青年会議所,,,,http://www.kuriyama-jc.jp/,https://www.kuriyama-jc.jp/お問合わせ/,https://www.kuriyama-jc.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）栗山青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）根室青年会議所,,,,http://nemurojc.wixsite.com/nemurojc,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）根室青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）江別青年会議所,,,011-383-9678,http://www.ebetsu-jc.com/,http://ebetsu-jc.com/,http://ebetsu-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）江別青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）深川青年会議所,,,,https://fukagawajc.com/,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）深川青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）滝川青年会議所,北海道滝川市花月町１丁目２番２６号,,,http://takikawa-jc.com/,https://takikawa-jc.com/?page_id=8,http://takikawa-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）滝川青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）登別室蘭青年会議所,〒050-0083 北海道室蘭市東町2丁目23番6号第2大通ビル3F,,0143-42-2535,https://nm-jc.jp/,https://nm-jc.jp/contact/,https://nm-jc.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）登別室蘭青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）白老青年会議所,〒059-0905 北海道白老郡白老町大町2丁目3－4,,0144-85-2722,https://pipitt.jp/shiraoi-jc/,,https://pipitt.jp/shiraoi-jc/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）白老青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）砂川青年会議所,〒073-0161 北海道砂川市西1条北2丁目1-20 砂川商工会議所内,,0125-52-4294,https://sunagawajcweb.wixsite.com/index,,https://sunagawajcweb.wixsite.com/index,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）砂川青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）稚内青年会議所,,,,http://www.wjc.jp/,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）稚内青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）網走青年会議所,〒093-0016 北海道網走市南６条西２丁目４番１号,,0152-44-6751,http://www.abashiri-jc.com/,https://abashiri-jc.com/,https://abashiri-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）網走青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）美唄青年会議所,〒072-0025 北海道美唄市西2条南2丁目1-1,,,http://bibai-jc.org/,https://bibai-jc.org/,https://bibai-jc.org/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）美唄青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）芦別青年会議所,〒075-0001 北海道芦別市北1条西1丁目5番地,,0124-22-4531,http://ashibetsujc.blogspot.jp/,https://ashibetsujc.blogspot.com/,https://ashibetsujc.blogspot.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）芦別青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）苫小牧青年会議所,〒053-0022 北海道苫小牧市表町1丁目1-13 苫小牧経済センタービル 6F,,0144-34-3627,http://www.toma-jc.jp/,,http://www.toma-jc.jp/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）苫小牧青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）赤平青年会議所,〒079-1134 北海道赤平市泉町２丁目２番地,,0125-32-2246,http://www.akabiracci.or.jp/jc/,,https://akabiracci.or.jp/jc/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）赤平青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）釧路青年会議所,〒085-0847 北海道釧路市大町1丁目1-1,kuhjc@marimo.or.jp,0154-42-1121,http://www.kushiro-jc.com/,https://www.kushiro-jc.com,https://www.kushiro-jc.com/,B,メール,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）釧路青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"（一社）釧路青年会議所 ご担当者様

突然のご連絡を失礼いたします。
株式会社AIスキル、法人研修事業担当の河野 邦彦と申します。

このたびは、貴青年会議所の会員様・地域の若手経営者の皆さま向けに「無料AI活用セミナー」の共催についてご相談させていただきたく、ご連絡いたしました。

弊社では、生成AI・ChatGPTの正しい活用を全国の中小企業へ広げることを目的として、地域団体様と連携した無料セミナー開催を進めております。費用のご負担なく、若手経営者への新しい学びの機会として、また地域企業支援・次世代リーダー向けの実践的コンテンツとしてご活用いただける内容です。

弊社が運営するAIスキルアカデミーは、九州工業大学 生命体工学研究科 人間知能システム工学専攻にてAI研究を行う鈴木章央先生にコンテンツを監修いただいており、現在16,000名以上の会員様にご利用いただいております。会員の約20%が中小企業の経営者・事業責任者の方々であり、これまでに約3,000名にAI活用事例を提供してまいりました。

過去には、新富町商工会議所様にて約20名の方を対象に1時間半のAI活用セミナーを実施し、地元紙にも取り上げていただきました。

概要資料を添付しておりますので、ご確認いただき、上長や担当部署内でのご共有にお役立てください。

まずは一度30分ほどオンラインにて、共催の可能性についてご相談させてください。ご関心をお持ちいただけましたら、候補日をいくつかいただけますと幸いです。

何卒よろしくお願いいたします。

------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（公社）北見青年会議所,〒090-0065 北海道北見市寿町3丁目1-19,,0157-24-2762,http://www.kitamijc.or.jp/,https://kitamijc.or.jp/,https://kitamijc.or.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（公社）北見青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
