"セグメント","サブカテゴリ","会社名","URL","事業概要","問い合わせ窓口","代表者","採用ページURL","営業トーク仮説"
"送り出し系","留学エージェント（外資・グローバル）","イー・エフ・エデュケーション・ファースト・ジャパン株式会社","https://www.efjapan.co.jp/","1965年スイス創業の世界最大級語学教育機関EFの日本法人。13歳以上対象の海外留学・語学研修を提供、世界50カ国以上に拠点。","https://www.efjapan.co.jp/contact-us/","代表取締役社長 リーナス・ジョンソン","https://www.efjapan.co.jp/about-us/work-with-ef/","外資ゆえ日本ローカル感覚のSNS運用が弱い。日本人留学生のリアル体験を切り取った共感型動画で、グローバルブランド×ローカル親近感を両立させる提案が刺さる。"
"送り出し系","留学エージェント（旅行系）","株式会社エイチ・アイ・エス（HIS語学研修デスク）","https://gogaku.his-j.com/","大手旅行会社HISの留学専門部署。海外111都市156拠点の自社ネットワークを活かし、語学学校・ホームステイ・航空券をパッケージで提供。","https://gogaku.his-j.com/contact/","代表取締役社長 矢田 素史（HIS本体）","https://recruit.his.co.jp/","HIS本体の旅行ブランド色が強いため、留学事業単体の認知度が低い。留学に絞ったストーリー動画で「旅行のHIS」から「留学のHIS」への認知転換を仕掛ける提案が刺さる。"
"送り出し系","留学エージェント（中堅）","株式会社リアブロード（スマ留）","https://smaryu.com/","シェアリングエコノミー型の留学エージェント「スマ留」を運営、年間9,000人以上の利用実績。海外留学経験者特化型就職エージェント「yuino」も展開。","https://smaryu.com/contact/","代表取締役社長 神田 慎","https://liabroad.co.jp/recruit/","ビジネスモデル＝シェアリングの説明が複雑、共感に翻訳する力が必要。RAHAのニッチ→大衆翻訳企画が刺さる。yuino（就職支援）側でも採用SNSのノウハウ提案ができる。"
"送り出し系","ボーディングスクール留学","株式会社海外教育コンサルタンツ（EDICM）","https://www.edicm.jp/","1973年創業、海外ボーディングスクール留学（小中高生）に特化したコンサルティング会社。50年以上で7,800人以上を支援、TABS・Swiss Learning公認パートナー。","https://www.edicm.jp/contact/","不明","https://education-career.jp/job/11053/detail","高単価×超ニッチ（年数百万の海外寮制学校）＝富裕層の親が顧客。富裕層向けに「子の海外寮生活ストーリー」を品よく共感型動画化し、Instagramで個別相談リードを獲得する提案が刺さる。"
"送り出し系","海外大学進学塾（中高生）","株式会社キャタル","https://catal.jp/","海外大学合格を目指す4技能型英語塾。東京6・福岡2教室＋バンコク校＋オンライン、累計10,000人以上の小中高生を指導。","https://catal.jp/contact/","代表取締役 三石 郷史","https://catal.jp/recruit/","海外大進学＝親の情報収集が起点。生徒の合格ストーリーや海外進学後の姿を共感型動画化、保護者層へのInsta／LINE訴求で説明会集客を強化する提案が刺さる。"
"送り出し系","海外移住支援","株式会社アエルワールド","https://www.investorvisa.jp/","2004年創業の海外移住・投資家ビザ取得サポート会社。20,000人超の相談実績、ファミリー・経営者・投資家・リタイア層の長期滞在を支援。","https://www.investorvisa.jp/contact/","代表取締役 大森 健史","https://en-gage.net/aerworld_career/","海外移住＝決断単価が高く長期検討が必要。移住者のリアルなライフスタイルストーリーを共感型動画化し、検討段階の見込み客をLINEで長期育成する提案が刺さる。"
"送り出し系","海外大学進学塾","学校法人河合塾（海外大進学相談センター）","https://www.kawai-juku.ac.jp/kaigaidai/","大手予備校河合塾が運営する海外大進学相談センター。米英オセアニア大進学／国際教養系大学進学／交換留学等、海外大進学に精通したアドバイザーがサポート。","https://www.kawai-juku.ac.jp/kaigaidai/contact/","理事長 山田 治","https://www.kawai-juku.ac.jp/recruit/","学校法人ゆえ公式色強く動画発信は控えめ。アゴスとの違いを「現役高校生視点」のショート動画で打ち出す提案が有効（学校法人ゆえ要件確認）。"
"送り出し系","海外大学進学塾（中高生）","株式会社ベネッセコーポレーション（Route H／Route G）","https://rt-h.jp/","ベネッセが運営する海外トップ大進学塾Route H／海外進学英語塾Route G。2009年開始、中1〜高3対象、海外大進学から国内国際系学部進学まで支援。","https://rt-h.jp/contact/","代表取締役社長 小林 仁（ベネッセコーポレーション）","https://www.benesse.co.jp/recruit/","大手ゆえ動画戦略は社内完結傾向だが、海外大進学領域は中高生向けの共感訴求が手薄。卒業生のリアルなキャンパスライフ動画でブランド体験を訴求し、Route H／Route G間の動線設計を提案できる。"
"送り出し系","海外大学進学エージェント（アメリカ特化）","株式会社栄陽子留学研究所","https://www.ryugaku.com/","1972年設立、アメリカの高校・大学・大学院への正規留学（卒業を目指す留学）専門エージェント。卒業生1万人超、卒業率97%、奨学金獲得率100%実績。","https://www.ryugaku.com/contact/","代表 栄 陽子","なし","代表のカリスマ性／50年の実績を活かしきれていない可能性。代表自身を主役にしたドキュメンタリー風動画で信頼を可視化、富裕層保護者の説明会集客強化提案が刺さる。"
"送り出し系","総合留学エージェント","SEKAIA株式会社（旧ICCコンサルタンツ）","https://www.sekaia.co.jp/","2025年11月にICCコンサルタンツから社名変更。高校・大学・大学院留学、海外インターンシップ、企業派遣留学、マレーシア移住支援まで幅広く展開。","https://www.sekaia.co.jp/contact/","代表取締役 曽根 靖雄","https://www.sekaia.co.jp/recruit/","社名変更直後＝ブランド再構築期。新ブランド「SEKAIA」の世界観を共感型ストーリーで一気に浸透させる提案が刺さる。マレーシア移住事業はニッチ商材で大衆翻訳力が活きる。"
"送り出し系","総合留学エージェント","GIO CLUB株式会社（成功する留学）","https://www.studyabroad.co.jp/","1984年創業の老舗留学エージェント「成功する留学」運営。累計25万人の利用実績、17カ国740校提携、ST Star Awardsアジア最優秀5回受賞・殿堂入り。","https://www.studyabroad.co.jp/inquiry/","代表取締役社長 岡野 健三","https://www.studyabroad.co.jp/company/recruit.html","老舗の実績はあるが「成功する留学」というブランドは中高年寄り。25万人の体験談アセットを共感型ショート動画化し、Z世代向けにブランド若返りを図る提案が刺さる。"
"送り出し系","総合留学エージェント","株式会社DEOW（留学ワールド）","https://deow.jp/","2004年設立、30カ国900校以上と提携する手数料無料の総合留学エージェント。世界8カ国12都市に直営オフィス、ダンス・バリスタ等ユニーク留学も扱う。","https://deow.jp/contact/","代表取締役 真鍋 将晃","https://deow.jp/recruit/","ダンス・バリスタ留学などのニッチ商材を扱う＝RAHAの「ニッチを大衆共感に翻訳する」企画力と相性抜群。職業×留学のストーリー動画でTikTok等から指名検索を増やす提案が刺さる。"
"送り出し系","ワーホリ・留学（手数料無料）","株式会社ダイブ（Global Dive）","https://global-dive.jp/","全世界20カ国1,000校以上の語学留学・ワーホリをサポート。「リゾートバイト×無料英会話で資金作り」のZEROから留学プランが特徴。","https://global-dive.jp/contact/","代表取締役 庄子 潔","https://dive-jp.com/recruit/","リゾバ×留学の独自モデルは説明難度高。20代主役の体験ストーリーで「資金ゼロでも留学できる共感」を量産、LINE登録→無料相談導線を強化する提案が刺さる。"
"送り出し系","総合留学エージェント","ネスグローバル株式会社","https://www.nes-global.com/","11カ国92都市400校以上の海外留学を手数料0円で取次。海外留学・キャリア留学・インターンに加え、グローバル人材紹介・英語人材紹介事業も展開。","https://www.nes-global.com/contact.html","代表取締役 櫛谷 泰輔","https://www.nes-global.com/recruit.html","留学＋人材紹介＋インターを横串で持つ＝顧客LTVは高いが認知のメイン経路が広告依存になりやすい。事業横断のストーリー動画で「留学→キャリア」までの一気通貫を共感的に見せ、リード単価を下げる提案が刺さる。"
"送り出し系","中高生短期留学","株式会社Crepity（U-GAKU）","https://u-gaku.jp/","セブ・マルタ・ニセコ・沖縄での国内外留学プログラムを運営。中高生向けの価値観変容を目的とした短期留学が中心、2021年創業。","https://u-gaku.jp/contact/","代表取締役 生雲 勝之","https://u-gaku.jp/recruit/","短期留学＝中高生本人より親の意思決定。参加者の成長ビフォーアフターを保護者目線の共感ストーリーに編集し、Insta経由で説明会集客を強化する提案が刺さる。新興ブランドゆえ動画の蓄積効果が大きい。"
"送り出し系","留学エージェント（イギリス強）","株式会社ワールドコンパス（アフィニティ）","https://affinity-japan.com/","1978年創業の老舗イギリス系留学エージェント。英国・カナダ・豪・独・仏など世界2,000校以上と提携、語学・ワーホリ・大学院・インターンまで対応。","https://affinity-japan.com/contact/","不明","なし","欧州留学（英・独・仏）の専門性はあるがSNS露出は限定的。国別の魅力をニッチ共感動画で訴求し、米豪以外を検討する層を独占する提案が刺さる。"
"送り出し系","秘境・辺境ツアー","株式会社西遊旅行","https://www.saiyu.co.jp/","1973年創業の秘境旅行・海外登山の専門店。ヒマラヤ、シルクロード、極地、野生動物テーマツアー等、テーマ性の高い少人数ツアーを世界中で展開。","https://www.saiyu.co.jp/contact/","代表取締役社長 高橋真理子","https://www.saiyu.co.jp/information/recruit.php","ケニアという辺境を共感に変えたRAHAのストーリーテリングを引き合いに、シルクロードやヒマラヤの『一見近寄りがたい場所』をショート動画で大衆化する提案が刺さる。中高年顧客中心の層から若年層獲得の課題があるはず。"
"送り出し系","秘境・辺境ツアー","株式会社風の旅行社","https://www.kaze-travel.co.jp/","ネパール・モンゴル・チベット文化圏・モロッコを軸に、現地の暮らしや文化に触れる手作り体験型ツアーを企画。海外支店を自社運営。","https://www.kaze-travel.co.jp/contact","代表取締役 原優二","https://www.kaze-travel.co.jp/recruit","『人の暮らしに触れる旅』というコンセプトはRAHAのケニア現地ツアーと共鳴する。現地パートナーとの関係性をストーリー仕立てのショート動画化し、客層の若返りと高単価ツアー販売の両立を提案。"
"送り出し系","秘境・辺境ツアー","株式会社ファイブスタークラブ","https://www.fivestar-club.jp/","1995年創業、世界の辺境地・少人数ツアー専門。社長以下スタッフ全員が旅好きで、年に複数回海外視察を行う『旅人』集団。","https://www.fivestar-club.jp/info/contact/","代表取締役 川崎真弘","https://www.fivestar-club.jp/recruit/","辺境ツアーをマス層に届けたい際の翻訳力でRAHAは強み。社員自身が旅好きという素材を活かしたパーソナルストーリー型ショート動画で、採用と集客の双方を解決する提案。"
"送り出し系","秘境・辺境ツアー","株式会社日本橋トラベラーズクラブ","https://travellers.co.jp/","1991年設立。テーマ性・こだわりの手づくりの旅、特に秘境・辺境旅行が多数。世界各国を独自企画で扱う中小規模専門店。","https://travellers.co.jp/contact/","白鳥雅之","https://travellers.co.jp/recruit/","中小規模ゆえ認知拡大が課題と推測。RAHAのニッチを大衆化する企画力で、地味になりがちな『辺境』を視覚的にバズらせ、新規顧客層獲得を提案できる。"
"送り出し系","中央アジア・コーカサス","ジェーアイシー旅行センター株式会社","https://www.jic-web.co.jp/","1982年創業のロシア・旧ソ連諸国専門の旅行・国際交流会社。中央アジア（ウズベキスタン等）、コーカサス、バルト3国も扱う。","https://www.jic-web.co.jp/contact/","代表取締役 杉浦信也","不明","ジョージア・ウズベキスタンなど『名前は聞くが情報が少ない国』の魅力をショート動画で翻訳できる強みを訴求。地政学的に難しい国を持つ企業ほどイメージ刷新のニーズが高い。"
"送り出し系","テーマ別海外ツアー（知的好奇心）","株式会社ユーラシア旅行社","https://www.eurasia.co.jp/","1986年設立、東証スタンダード上場。遺跡・自然・伝統文化など知的好奇心を満たすオリジナルツアーを成熟層に提供。","https://www.eurasia.co.jp/inquiry/","代表取締役 井上利男","https://www.eurasia.co.jp/company/recruit/","シニア層への依存からの脱却がIR上の課題。RAHAの『若年層への翻訳力』で文化・遺跡テーマを30〜40代に届けるショート動画運用を提案するのが刺さる。"
"送り出し系","海外登山・トレッキング","アルパインツアーサービス株式会社","https://www.alpine-tour.com/","1973年設立、ハイキング・トレッキング・登山ツアー専門。2025年にアウトドア大手ゴールドウィン傘下入りし、若年顧客接点拡大を狙う。","https://www.alpine-tour.com/contact/","代表取締役社長 藤井知一","https://www.alpine-tour.com/company/recruit.php","親会社ゴールドウィンが掲げる『顧客接点拡大・若年化』とRAHAのSNS強みが直結。海外トレッキングの達成感ストーリーをショート動画化し、ブランド認知向上の提案がドンピシャ。"
"送り出し系","海外ハネムーン専門","株式会社アニバーサリートラベル","https://www.anniversary-t.com/","ウェディング大手テイクアンドギヴ・ニーズの100％子会社。2006年設立のオーダーメイドハネムーン専門旅行会社。","https://www.anniversary-t.com/inquiry/","不明","https://www.anniversary-t.com/company/recruit.html","ハネムーン市場はSNSでの『憧れ作り』が購買起点。RAHAのフォトジェニックなストーリーテリングで『この瞬間を私たちも』と共感を呼び、高単価ハネムーン販売とLINE導線設計を一気通貫で提案できる。"
"送り出し系","オーダーメイド・ハネムーン","ティースタイル株式会社","https://www.teestyle.jp/","2009年創業、オーダーメイド旅行・ハネムーン専門。1万組超の手配実績。トラベルコンサルタント制と現地視察が強み。","https://www.teestyle.jp/inquiries","代表取締役社長 須沢悠／代表取締役会長 鈴木年光","https://www.teestyle.jp/careers","現地視察を10カ国以上行っている素材を活かす方法に課題ありと推測。RAHAの動画企画力で『コンサルタント自身が出る』属人型コンテンツを設計、ファン化・採用応募両立の提案が有効。"
"送り出し系","海外フォトウェディング・挙式","株式会社エス・ティー・ワールド（MOONSHELL等）","https://wedding-collection.jp/","1987年創業、海外挙式専門ブランド『MOONSHELL』を運営。モルディブ・ヨーロッパなど世界の挙式取扱エリア数No.1。","https://wedding-collection.jp/inquiry/","代表取締役社長 鹿島義範","https://stworld.jp/corp/recruit_stw/top/about/","海外挙式市場は若年層の『映え』動機が大きい。RAHAのフォトジェニック動画＋共感ストーリーで、各国の挙式会場をブランド毎にシリーズ動画化、LINE登録→相談予約導線の構築を提案。"
"送り出し系","クルーズ専門","株式会社クルーズプラネット","https://www.cruiseplanet.co.jp/","1999年設立、HISグループのクルーズ専門旅行会社。海外・国内クルーズの企画販売、BtoB予約システムNAVISも展開。","https://www.cruiseplanet.co.jp/contact/","代表取締役社長 小林敦","https://www.cruiseplanet.co.jp/recruit/","クルーズ顧客は中高年偏重、若年化が課題。RAHAの『ニッチを共感化』する企画力で、クルーズ船内の知られざる体験をショート動画化、新規層開拓と高単価販売の両立を提案。"
"送り出し系","クルーズ専門","クルーズのゆたか倶楽部株式会社","https://www.yutakaclub.co.jp/","クルーズ専門旅行会社。日本船・外国船の各社クルーズを取扱、代表が旅専9代目会長就任歴。","https://www.yutakaclub.co.jp/contact/","代表取締役 松浦賢太郎","不明","中堅クルーズ専門店は集客のデジタル化が遅れがち。RAHAの動画＋LINE運用ノウハウで、競合HIS系より小回りの効く個別接客をSNS上で体現する提案が刺さる。"
"送り出し系","クルーズ（カジュアル路線）","株式会社ベストワンドットコム","https://www.best1cruise.com/","2005年創業、東証グロース上場のオンラインクルーズ専門旅行会社。若年・未体験者にカジュアル船旅を提案するのが特徴。","https://www.best1cruise.com/user_data/info/contact.php","代表取締役 澤田秀太","https://www.best1cruise.com/recruit/","公開している『若い世代・未体験者向けの船旅提案』戦略とRAHAの大衆翻訳力が完全に合致。TikTokショート動画で『クルーズ＝シニア』のイメージを覆し若年層獲得を実現する企画提案が刺さる。"
"送り出し系","極地・冒険クルーズ","株式会社クルーズライフ","https://www.cruiselife.co.jp/","南極・北極の極地クルーズ専門。Quark Expeditions等の日本正規代理店、極地旅行20年以上の経験を持つ専門店。","https://www.cruiselife.co.jp/inquiry/","代表取締役 伊藤榮治郎","https://www.cruiselife.co.jp/about/recruit.html","南極・北極という究極のニッチ・高単価商材はRAHAの得意領域。秘境ケニアツアー販売の実績を引き合いに、極地体験をストーリーテリングで翻訳しLINE登録経由の長期育成導線を提案。"
"送り出し系","北欧・オーロラ専門","株式会社フィンコーポレーション（北欧旅行フィンツアー）","https://www.nordic.co.jp/","1983年創業、北欧4ヶ国・バルト3国・アイスランド・グリーンランド専門の旅行会社。オーロラ・テーマ別企画ツアーが豊富。","https://www.nordic.co.jp/contact/","代表取締役社長 美甘小竹","https://www.nordic.co.jp/company/recruit/","オーロラ・北欧暮らし・サウナなど『映える・憧れ』要素が強いコンテンツの宝庫。RAHAの企画力で各国に紐づくシリーズ動画化、女性ファン獲得→LINE→ツアー予約の導線設計が刺さる。"
"送り出し系","海外ダイビング専門","株式会社ユー・ツアー・サービス","https://www.u-diving.jp/","アジア・オセアニアを中心に海外ダイビングツアー・秘境ダイビングを扱う旅行会社。ボルネオ専門ブランドも展開。","https://www.u-diving.jp/contact/","代表取締役 水野英行","不明","ダイビングは『憧れ→挑戦』のストーリー消費との相性が良い。RAHAのニッチ大衆翻訳で、ダイビング未経験層へのリーチ拡大、初心者向け体験ツアー集客の提案が有効。"
"送り出し系","海外ダイビング・クルーズ","株式会社サン・アンド・アドベンチャー（クラブアズール）","https://www.club-azul.com/","1994年創業、海外ダイビング旅行のパイオニア。モルディブ・メキシコに自社クルーズ船を所有、ガラパゴス等の秘境を強みとする。","https://www.club-azul.com/info","代表取締役社長 早瀬悦子","https://www.club-azul.com/company","自社船・ガラパゴスなど『他社にない素材』を持つが認知が業界内に偏りがち。RAHAのストーリーテリングで『なぜ社長が船を持つに至ったか』を発信し、ファン化・高単価販売を提案。"
"送り出し系","海外スポーツ観戦専門","株式会社ジェイ ワールド トラベル（J WORLD SPORTS/Tifosi）","https://www.jworldsports.com/","海外スポーツ観戦ツアー専門。サッカー（Tifosi）、テニス、ラグビー、MLB、フィギュアスケート等の観戦＋旅行を企画。","https://www.jw-trvl.co.jp/","不明","不明","熱狂的なファンの感情・行動を可視化するコンテンツが響く市場。RAHAの共感喚起ストーリーテリングで、観戦体験を疑似体験できるショート動画を提案、新規ファン層獲得を後押し。"
"送り出し系","海外サッカー観戦","株式会社パルテンツァ（DANGAN FOOTBALL等）","https://www.partenza.co.jp/","スイス・クロアチア・イタリア・ブータンなどの専門ツアー、欧州サッカー観戦『DANGAN FOOTBALL』を運営する中堅専門旅行会社。","https://www.partenza.co.jp/contact/","代表取締役 野原弘輔","不明","複数のニッチブランドを並列展開しており、各ブランドのSNS運用リソース不足が課題と推測。RAHAの企画力でブランド毎にショート動画戦略を作り、LINE→個別相談へ導線化する提案。"
"送り出し系","海外スポーツ観戦","株式会社CULTURE PROMOTION（WORLD SPORTS TRAVEL）","https://f1world.net/","F1・サッカー・MLB・NBA・テニス・WBC等の海外スポーツ観戦ツアー専門。創業者自身の観戦体験ベースのツアー設計。","https://f1world.net/contact/","不明","不明","創業者の体験ストーリーがコンテンツ資産化されておらず勿体ない可能性。RAHAの『人を主役にしたストーリーテリング』で創業者キャラを動画化、唯一無二のブランド構築を提案。"
"送り出し系","ワイン・グルメツアー","株式会社パーパスジャパン","https://www.purposejapan.com/","1990年創業のヨーロッパ専門オペレーター発祥。フランス・イタリア・米・NZ等のワイナリー巡り、スポーツイベント、オーロラ旅行も扱う中堅特化型。","https://www.purposejapan.com/contact.html","不明","不明","ワイナリー巡り・アグリツーリズモといった『マニアック高単価商材』はRAHAの十八番。生産者の物語を絡めたショート動画でワイン好き＋旅好きの女性層を獲得、LINEで定期情報配信→ツアー予約の提案。"
"送り出し系","ヨーロッパ周遊専門","株式会社旅コンシェル","https://www.big-tour.com/","ヨーロッパ旅行専門店。イベリア半島・イタリア・フランス等の周遊・少人数ツアーを企画。現地パートナーと連携した手作りプラン。","https://www.big-tour.com/inquiry/","不明","不明","リピート率の高さが強みだが新規顧客層へのリーチが弱いと推測。RAHAの拡散力ある動画企画で各都市の隠れスポットを翻訳、新規顧客の母集団形成を提案。"
"送り出し系","ハワイ専門","株式会社ハワイアンエイト","https://hawaiian8.jp/","名古屋本社、45年の実績を持つハワイ専門旅行店。ハワイ州観光局公認サテライトオフィス、ハネムーン・家族旅行・離島旅行を強みとする。","https://hawaiian8.jp/contact/","不明","不明","ハワイ市場は競合過多、差別化が課題。RAHAの『フォロワー18万人運用実績』を引き合いに、スタッフ全員がハワイスペシャリストである強みを人物ストーリーで可視化、地方発で全国客を取る戦略を提案。"
"送り出し系","南太平洋・モルディブ離島","株式会社アドベンチャー・アイランズ（冒険の島）","https://www.adventure-is.co.jp/","ニューカレドニア・タヒチ・モルディブ・フィジー等の離島・ビーチリゾート専門の中小特化型旅行会社。","https://www.adventure-is.co.jp/contents/category/contact/","不明","不明","美しい島々という映え素材が豊富だが社名認知が低い。RAHAのケニアツアー販売実績を引き合いに、フォトジェニック動画でブランド認知拡大→指名問い合わせ獲得を提案。"
"送り出し系","オーダーメイド海外旅行","トラベル・スタンダード・ジャパン株式会社","https://www.travelwith.jp/","2011年設立の海外旅行・オーダーメイドツアー専門。第一種旅行業、JATA正会員、IATA公認。2025年に新代表就任で経営刷新中。","https://www.travelwith.jp/contact","代表取締役 横治祐介","https://www.travelwith.jp/company/recruit","新代表就任直後はマーケ刷新ニーズが高い。RAHAの自社運用実績（18万フォロワー・LINE1.2万）を再現可能性ある事例として提示、SNS起点の顧客創出を提案。"
"受け入れ系","ベトナム・宿泊","兎家（うさぎや）Hotel & Guesthouse / Usagiyah","https://usagiyah.com/","ベトナム・ホーチミン市1区にある日本人経営＆日本人常駐のホテル＆ゲストハウス。2017年開業、Booking.comレビュー9.3を獲得し、リピーターと一人旅日本人を中心に高い稼働率。","https://usagiyah.com/お問い合わせ/","オーナー 石田氏（京都府出身、バックパッカー歴20年以上）","不明","『日本人がホーチミンで何を楽しめるか』を旅人目線で発信するショート動画群を提案。バックパッカー出自のオーナー個人ストーリーを軸にしたコンテンツで、海外渡航リピーターのファン化と直予約導線（LINE）まで設計できる旨を訴求。"
"受け入れ系","タイ・宿泊","うらしま館（バンコク）","https://www.urashima-thai.com/","2025年12月にバンコク・バンチャック駅徒歩5分でオープンした日本人専用ゲストハウス。日本人オーナー常駐、長期滞在・移住者の拠点としても利用される新興宿。","https://www.urashima-thai.com/","オーナー 中島氏","不明","新規開業ゆえに認知獲得が最大の課題。RAHAの『辺境地ケニアで日本人観光客を呼んだ』実績を引き合いに、開業ストーリーをドキュメンタリー風ショート動画で連載し、初年度から指名予約を作る設計を提案。"
